DISPLAY_DATE,SKU,IMPRESSION_COUNT,ACQUISITION_COST
17/03/2024,BIG8712962893379,515,0
17/03/2024,SOM3660849004729,515,0
17/03/2024,EMM4251822508113,515,0
18/03/2024,SAM8806094326963,515,0
19/03/2024,FOH0616943002393,515,0
19/03/2024,COS1704263817039,515,0
20/03/2024,MSI4711377044202,515,0
20/03/2024,CTR0727370194145,515,0
21/03/2024,MOUBY153B10,515,0
21/03/2024,INS1698855235509,515,0
21/03/2024,AUT0632111263847,515,0
22/03/2024,PPG397852,515,0
22/03/2024,NUT1696675500513,515,0
22/03/2024,CTR0782846975185,515,0
23/03/2024,INS1690540118478,515,0
23/03/2024,03KNESS9G,515,0
23/03/2024,LAR1698836880897,515,0
24/03/2024,IME8007403117993,515,0
25/03/2024,MIR3272760451973,515,0
25/03/2024,DRE6973734684324,515,0
26/03/2024,EMM4251822546979,515,0
27/03/2024,COS1684919638394,515,0
27/03/2024,AUC5903025287225,515,0
27/03/2024,BIG8712962682164,515,0
28/03/2024,PAW3662970068267,515,0
28/03/2024,SEN3760256510285,515,0
29/03/2024,IDM3662897022717,515,0
30/03/2024,OCC4RR91T11S0CF,515,0
30/03/2024,AUC3760171980637,515,0
31/03/2024,SON0194343036526,515,0
31/03/2024,OCCI8TF08EXZLSM,515,0
31/03/2024,ULT6924843215350,515,0
01/04/2024,ULT0728205958000,515,0
01/04/2024,SCH4046664170778,515,0
01/04/2024,AAAAI24999,515,0
02/04/2024,ROB1692171749403,515,0
02/04/2024,CMBT141M709,515,0
03/04/2024,MEU5902928374810,515,0
03/04/2024,CIT8396083520927,515,0
04/04/2024,KON1694079710901,515,0
04/04/2024,ROB9436902611302,515,0
04/04/2024,ELE7332543798742,515,0
05/04/2024,EIN4006825638578,515,0
05/04/2024,PL70667,515,0
05/04/2024,NOK1686259194662,515,0
05/04/2024,AIG8433325501082,515,0
06/04/2024,IDM3662897022717,515,0
06/04/2024,KIL1696838302531,515,0
06/04/2024,WHI8003437903373,515,0
07/04/2024,CAN4549292165791,515,0
08/04/2024,ULT6924843216036,515,0
08/04/2024,NIU0752140860296,515,0
08/04/2024,BOS060395230F,515,0
09/04/2024,TOP0632111349947,515,0
09/04/2024,ANR1699947607650,515,0
09/04/2024,BES6941607311257,515,0
09/04/2024,FRE3802293618118,515,0
10/04/2024,ATLASEVIER,515,0
10/04/2024,WS8CELL45SWH,515,0
12/04/2024,AUC4251822508694,515,0
12/04/2024,COS0661706158251,515,0
12/04/2024,3302ENSE,515,0
12/04/2024,AAAAP43166,515,0
12/04/2024,IEG1685000420364,515,0
12/04/2024,LAU0632111261904,515,0
13/04/2024,3302ENSE,515,0
14/04/2024,BUT6975456151283,515,0
14/04/2024,NAS1694499766658,515,0
14/04/2024,EMM1685371725075,515,0
14/04/2024,EMM4251822538394,515,0
15/04/2024,CHI1689315220261,515,0
16/04/2024,FEN1688701472722,515,0
16/04/2024,GON1698217059184,515,0
17/04/2024,COM1695371824315,515,0
17/04/2024,BOS4059952631578,515,0
17/04/2024,CTR0727370194152,515,0
18/02/2024,CTR0783746271810,1795,0
27/02/2024,ULT6924843206730,1795,0
03/03/2024,AUC3701233100051,1795,0
06/03/2024,EMM4251822533603,1795,0
16/03/2024,RYO4058546343477,1795,0
28/03/2024,AUC0714651373078,1795,0
01/04/2024,RIP3174269039778,1795,0
06/04/2024,4251822515777,1795,0
12/04/2024,EMM4251822554882,1795,0
15/04/2024,ROB9397135504178,3075,0
20/02/2024,ONEX003440,4355,0
17/02/2024,KRU3700342443257,260,0
17/02/2024,EP222010,260,0
17/02/2024,LAU0632111263762,260,0
17/02/2024,TUR8020283050327,260,0
17/02/2024,ANR6973667280594,260,0
17/02/2024,ROB6993222322286,260,0
17/02/2024,TAP4897098682777,260,0
17/02/2024,UNI1696997429379,260,0
18/02/2024,PHI8710103832690,260,0
18/02/2024,COS1703247659102,260,0
18/02/2024,ORA5903714023417,260,0
18/02/2024,OCCI8TF08EXZLSM,260,0
18/02/2024,OCC03GHFKA55YPW,260,0
18/02/2024,DAV3664632020286,260,0
18/02/2024,OCCA5S152068557,260,0
18/02/2024,RE450,260,0
19/02/2024,MER6957939000820,260,0
19/02/2024,HUE5012663922105,260,0
19/02/2024,OLO1685610002321,260,0
19/02/2024,IEG0191491388422,260,0
19/02/2024,KIL1696838302531,260,0
19/02/2024,HOM3662970115220,260,0
19/02/2024,CAM0755334628023,260,0
20/02/2024,OCCA6H1Z3P285N6,260,0
20/02/2024,VAS0194343013497,260,0
20/02/2024,COS1702888659629,260,0
20/02/2024,RYO4892210162038,260,0
21/02/2024,AUC3701071198371,260,0
21/02/2024,KIL1698393038422,260,0
21/02/2024,MCC7391736384261,260,0
21/02/2024,PRI5411397157843,260,0
21/02/2024,TPL6935364030988,260,0
21/02/2024,CAM1695712593327,260,0
21/02/2024,HOM3662970097854,260,0
21/02/2024,SOM3660849589486,260,0
21/02/2024,EP222010,260,0
21/02/2024,DEM3397701900072,260,0
21/02/2024,AUC0714651373078,260,0
21/02/2024,AUC6935364072681,260,0
22/02/2024,OCCC5WZ2FWVARA3,260,0
22/02/2024,COS0783501202967,260,0
22/02/2024,CAL8712879150947,260,0
22/02/2024,MSI4711377044226,260,0
22/02/2024,EMM4260568040726,260,0
22/02/2024,AUC4251822550204,260,0
22/02/2024,JEE0755334627309,260,0
22/02/2024,TYR6282225812161,260,0
22/02/2024,WIC4250533907321,260,0
23/02/2024,2607017063,260,0
23/02/2024,ECO4897082666332,260,0
23/02/2024,HOM1694174884599,260,0
23/02/2024,BIG8712962682164,260,0
23/02/2024,COS0783501203957,260,0
23/02/2024,DEC6941726318946,260,0
24/02/2024,AUC3701298844785,260,0
24/02/2024,AUC3045387243227,260,0
24/02/2024,COS1699962615250,260,0
24/02/2024,HIS6942147492178,260,0
24/02/2024,BOS3165140662468,260,0
24/02/2024,TAY1704878787149,260,0
24/02/2024,COS0661706158268,260,0
24/02/2024,TPL6957939000516,260,0
24/02/2024,CTR0679065857531,260,0
24/02/2024,LAU0632111263755,260,0
24/02/2024,LYRFRALA750B,260,0
24/02/2024,BEA3113610197248,260,0
24/02/2024,LOMA4ECRU,260,0
24/02/2024,AUC3701071133037,260,0
24/02/2024,DAV3664632027865,260,0
25/02/2024,COS1705303474488,260,0
25/02/2024,AMS3527570085871,260,0
25/02/2024,DAV3664632027513,260,0
25/02/2024,OCCEUFGPU4DD8F0,260,0
25/02/2024,ANR1700798481294,260,0
25/02/2024,AUC4251822508694,260,0
25/02/2024,AUC4897098688090,260,0
25/02/2024,WIC4250533937656,260,0
25/02/2024,AIG8433325504830,260,0
25/02/2024,DEM3397701900157,260,0
26/02/2024,LIS1693534482954,260,0
26/02/2024,TABBALCGREY,260,0
26/02/2024,TEE0765157268610,260,0
26/02/2024,BAI3584179056831,260,0
26/02/2024,BOS3165140803229,260,0
26/02/2024,RIP3174269033967,260,0
26/02/2024,AUC5012663921344,260,0
26/02/2024,SIGIUPROSBLC,260,0
27/02/2024,TPL4897098687833,260,0
27/02/2024,HIT1695804291088,260,0
27/02/2024,CIA0603981973389,260,0
27/02/2024,AUC4251585588070,260,0
27/02/2024,AUC3221616004573,260,0
27/02/2024,BOS3165140662468,260,0
27/02/2024,LYSFRASPRITZUK,260,0
27/02/2024,AUC0850052972288,260,0
27/02/2024,AUC5012663921603,260,0
27/02/2024,EIN4006825615203,260,0
27/02/2024,EIN4006825647266,260,0
28/02/2024,ROB9339403203970,260,0
28/02/2024,AUC3572010502487,260,0
28/02/2024,INS3663556126661,260,0
28/02/2024,AUT1686834347097,260,0
28/02/2024,AUC1699955491279,260,0
28/02/2024,TPL4897098687079,260,0
28/02/2024,CKE9144317503104,260,0
29/02/2024,UNI1693490011667,260,0
29/02/2024,AUC3700538232139,260,0
29/02/2024,DEC6941726315419,260,0
29/02/2024,AUC6282225812024,260,0
29/02/2024,LANSONBRUT,260,0
29/02/2024,LIS1693534657149,260,0
29/02/2024,EIN4006825615203,260,0
29/02/2024,COM6939962614519,260,0
01/03/2024,IEG0191491388453,260,0
01/03/2024,BOS3165140769648,260,0
01/03/2024,BOS3165140803229,260,0
01/03/2024,RED6973931310477,260,0
01/03/2024,AUC0780347338102,260,0
01/03/2024,9S717L541854,260,0
02/03/2024,WS8CELL45SWH,260,0
02/03/2024,ANR6973667288897,260,0
02/03/2024,UNE1685551637294,260,0
02/03/2024,DAV3664632020286,260,0
02/03/2024,TPL4897098687079,260,0
02/03/2024,AUC3665884035097,260,0
02/03/2024,DAV3664632016678,260,0
03/03/2024,ATLAS40G,260,0
03/03/2024,AUT0632111346014,260,0
03/03/2024,AUC4251822501459,260,0
03/03/2024,BAI3584179056480,260,0
03/03/2024,KIT3662738035975,260,0
03/03/2024,ROB9339403203598,260,0
03/03/2024,VAS1688027061866,260,0
03/03/2024,GRE8436572520103,260,0
03/03/2024,VAS0194343012643,260,0
03/03/2024,AUT0632111346281,260,0
03/03/2024,OLO1699255584018,260,0
04/03/2024,5030934125260,260,0
04/03/2024,DAV3664632020422,260,0
04/03/2024,GRE8436572520103,260,0
04/03/2024,MCC3068754301115,260,0
04/03/2024,TPL4897098682449,260,0
04/03/2024,COS1702888514918,260,0
04/03/2024,BRI1700287821157,260,0
04/03/2024,EMM1692795854504,260,0
04/03/2024,AUC4059952615547,260,0
04/03/2024,VAS0194343012643,260,0
04/03/2024,HOM3662970092392,260,0
05/03/2024,BOX3701379505925,260,0
05/03/2024,AUC6935364072827,260,0
05/03/2024,UNI3665884067357,260,0
05/03/2024,UNI1693495117473,260,0
05/03/2024,KIN5902533921621,260,0
05/03/2024,VAS0194343013497,260,0
06/03/2024,AUC1688109158008,260,0
06/03/2024,VAS0194343025704,260,0
06/03/2024,CAM1690366244980,260,0
06/03/2024,LAU0632111261041,260,0
06/03/2024,TOG0784868397969,260,0
06/03/2024,DEM3397701900041,260,0
07/03/2024,VIT3663936034616,260,0
07/03/2024,BOS4059952631578,260,0
07/03/2024,KIT3662738035975,260,0
07/03/2024,COS1699962615250,260,0
07/03/2024,MATHRC18,260,0
08/03/2024,AUC3700746477841,260,0
08/03/2024,SAI3661675004075,260,0
08/03/2024,KON1694079710901,260,0
08/03/2024,EMM4260568045813,260,0
08/03/2024,HOM1705709299081,260,0
08/03/2024,ORA4210201432227,260,0
09/03/2024,TEE0754407088566,260,0
09/03/2024,COM1695371824315,260,0
09/03/2024,LIS1693534482954,260,0
09/03/2024,REO1693209239553,260,0
09/03/2024,202A04049,260,0
10/03/2024,COS1702896746360,260,0
10/03/2024,SON1701142260901,260,0
10/03/2024,VIT3663936034616,260,0
10/03/2024,AUC6935364072827,260,0
10/03/2024,TPL4897098687079,260,0
10/03/2024,COS1699962829185,260,0
10/03/2024,COS0794094578070,260,0
11/03/2024,VARIERELAYON,260,0
11/03/2024,ROB1690943392555,260,0
11/03/2024,HOM1704842161295,260,0
11/03/2024,C690233,260,0
12/03/2024,BUT1699266489236,260,0
12/03/2024,AUC4251822508748,260,0
12/03/2024,OLO1685610002321,260,0
12/03/2024,SIGNORELAMBRG,260,0
12/03/2024,TPL4897098687079,260,0
12/03/2024,RIP3174269039792,260,0
12/03/2024,SOM2401446,260,0
12/03/2024,SCH4046664093084,260,0
12/03/2024,SOB4251388614839,260,0
13/03/2024,UNI1697084328418,260,0
13/03/2024,EMM4251822530268,260,0
13/03/2024,JAC3440890405399,260,0
13/03/2024,202C05002,260,0
13/03/2024,AUC3701107729098,260,0
14/03/2024,SIL1691591893512,260,0
14/03/2024,967148201,260,0
14/03/2024,MCC3068754301115,260,0
14/03/2024,SEN3760256511466,260,0
14/03/2024,EMM1698047060189,260,0
15/03/2024,SEN3760256510568,260,0
15/03/2024,CTR0727152275314,260,0
15/03/2024,BOS4059952614304,260,0
15/03/2024,SEN3760256510865,260,0
16/03/2024,TOG0748507396775,260,0
16/03/2024,AMZ1686217331292,260,0
16/03/2024,RAV1703563244037,260,0
17/03/2024,PHI8710103951735,260,0
17/03/2024,TOP6438071645518,260,0
17/03/2024,ELE7332543819836,260,0
17/03/2024,RED6973931310477,260,0
17/03/2024,OOB6288324823589,260,0
18/03/2024,SOB4251388621103,260,0
18/03/2024,CTR0727152275284,260,0
18/03/2024,FOH0616943002423,260,0
18/03/2024,AUC4053423207231,260,0
18/03/2024,VAS0194343034546,260,0
18/03/2024,CAM1698030690616,260,0
18/03/2024,CTR1688721729721,260,0
18/03/2024,AIG8433325201289,260,0
19/03/2024,FOH0616943002423,260,0
19/03/2024,HUE5012663922112,260,0
19/03/2024,ROB9397135504178,260,0
19/03/2024,EMM1685371838966,260,0
19/03/2024,RN13PROPLUS512W,260,0
19/03/2024,AUC6241042303047,260,0
19/03/2024,FRE3802293614523,260,0
19/03/2024,FIM0755559595087,260,0
19/03/2024,BOI0191491056710,260,0
20/03/2024,ULT0728205958000,260,0
20/03/2024,VEN3517920987467,260,0
20/03/2024,SEB1686666574300,260,0
20/03/2024,OTO1684827931566,260,0
21/03/2024,AUT0632111260983,260,0
21/03/2024,NUM3700192309529,260,0
21/03/2024,EM4018P,260,0
21/03/2024,SOM3660849005566,260,0
21/03/2024,EMM4251822530275,260,0
22/03/2024,AUC3701298845133,260,0
22/03/2024,TEF3168430338760,260,0
22/03/2024,SOM3660849005566,260,0
23/03/2024,COS1705993259120,260,0
23/03/2024,TOG0755334627361,260,0
23/03/2024,KIT3662738037481,260,0
23/03/2024,TEE0756244082981,260,0
23/03/2024,AMZ1686637552052,260,0
23/03/2024,TYR1695623535346,260,0
